,Team,RS,RA,OBP,SLG,BA,Playoffs
849,BOS,841,711,0.344,0.456,0.283,0
851,CHC,706,707,0.329,0.403,0.269,0
852,CHW,730,748,0.333,0.41,0.275,0
854,CLE,760,805,0.34,0.384,0.258,0
857,KCR,851,816,0.343,0.422,0.282,0
858,LAD,739,717,0.331,0.412,0.263,0
859,MIL,807,722,0.345,0.448,0.28,0
860,MIN,764,725,0.341,0.402,0.278,0
861,MON,701,581,0.319,0.408,0.264,0
863,NYY,734,672,0.328,0.406,0.266,0
864,OAK,573,860,0.302,0.346,0.239,0
866,PIT,775,643,0.33,0.416,0.272,1
868,SEA,711,820,0.331,0.404,0.269,0
869,SFG,672,751,0.319,0.365,0.246,0
870,STL,731,693,0.331,0.401,0.278,0
872,TOR,613,862,0.311,0.363,0.251,0
874,BAL,659,633,0.326,0.396,0.258,0
875,BOS,796,657,0.336,0.424,0.267,0
876,CAL,691,666,0.33,0.37,0.259,0
877,CHC,664,724,0.331,0.361,0.264,0
878,CHW,634,731,0.317,0.379,0.264,0
880,CLE,639,694,0.323,0.379,0.261,0
881,DET,714,653,0.339,0.392,0.271,0
882,HOU,605,634,0.313,0.355,0.258,0
883,KCR,743,634,0.329,0.399,0.268,1
884,LAD,727,573,0.338,0.402,0.264,1
886,MIN,666,678,0.339,0.375,0.267,0
889,NYY,735,582,0.329,0.388,0.267,1
890,OAK,532,690,0.303,0.351,0.245,0
894,SEA,614,834,0.314,0.359,0.248,0
895,SFG,613,594,0.318,0.374,0.248,0
896,STL,600,657,0.303,0.358,0.249,0
897,TEX,692,632,0.332,0.381,0.253,0
898,TOR,590,775,0.308,0.359,0.25,0
899,ATL,678,895,0.32,0.376,0.254,0
900,BAL,719,653,0.329,0.393,0.261,0
901,BOS,859,712,0.345,0.465,0.281,0
903,CHC,692,739,0.33,0.387,0.266,0
904,CHW,844,771,0.344,0.444,0.278,0
906,CLE,676,739,0.334,0.38,0.269,0
907,DET,714,751,0.318,0.41,0.264,0
908,HOU,680,650,0.32,0.385,0.254,0
909,KCR,822,651,0.34,0.436,0.277,1
910,LAD,769,582,0.336,0.418,0.266,1
911,MIL,639,765,0.314,0.389,0.258,0
914,NYM,587,663,0.313,0.346,0.244,0
915,NYY,831,651,0.344,0.444,0.281,1
916,OAK,605,749,0.308,0.352,0.24,0
917,PHI,847,668,0.346,0.448,0.279,1
919,SDP,692,834,0.324,0.375,0.249,0
920,SEA,624,855,0.312,0.381,0.256,0
923,TEX,767,657,0.342,0.405,0.27,0
924,TOR,605,822,0.316,0.365,0.252,0
925,ATL,620,700,0.32,0.334,0.245,0
926,BAL,619,598,0.31,0.358,0.243,0
927,BOS,716,660,0.324,0.402,0.263,0
929,CHC,611,728,0.313,0.356,0.251,0
931,CIN,857,633,0.357,0.424,0.28,1
932,CLE,615,615,0.321,0.359,0.263,0
934,HOU,625,657,0.322,0.347,0.256,0
937,MIL,570,655,0.311,0.34,0.246,0
938,MIN,743,704,0.341,0.375,0.274,0
940,NYM,615,538,0.319,0.352,0.246,0
941,NYY,730,575,0.328,0.389,0.269,1
942,OAK,686,598,0.323,0.361,0.246,0
943,PHI,770,557,0.338,0.395,0.272,1
946,SFG,595,686,0.312,0.345,0.246,0
947,STL,629,671,0.323,0.359,0.26,0
948,TEX,616,652,0.321,0.341,0.25,0
950,BAL,682,553,0.326,0.373,0.252,0
952,CAL,628,723,0.322,0.328,0.246,0
955,CIN,840,586,0.353,0.401,0.271,1
956,CLE,688,703,0.327,0.392,0.261,0
958,HOU,664,711,0.32,0.359,0.254,0
960,LAD,648,534,0.325,0.365,0.248,0
962,MIN,724,736,0.341,0.386,0.271,0
964,NYM,646,625,0.319,0.361,0.256,0
965,NYY,681,588,0.325,0.382,0.264,0
966,OAK,758,606,0.333,0.391,0.254,1
967,PHI,735,694,0.342,0.402,0.269,0
968,PIT,712,565,0.323,0.402,0.263,1
969,SDP,552,683,0.31,0.335,0.244,0
970,SFG,659,671,0.333,0.365,0.259,0
974,BAL,659,612,0.322,0.37,0.256,1
975,BOS,696,661,0.333,0.377,0.264,0
977,CHC,669,826,0.327,0.365,0.251,0
978,CHW,684,721,0.33,0.389,0.268,0
979,CIN,776,631,0.343,0.394,0.26,0
980,CLE,662,694,0.311,0.37,0.255,0
985,MIL,647,660,0.309,0.369,0.244,0
986,MIN,673,669,0.336,0.378,0.272,0
987,MON,662,657,0.335,0.35,0.254,0
988,NYM,572,646,0.311,0.329,0.235,0
989,NYY,671,623,0.324,0.368,0.263,0
990,OAK,689,551,0.321,0.373,0.247,1
991,PHI,676,701,0.32,0.373,0.261,0
992,PIT,751,657,0.335,0.391,0.274,1
994,SFG,634,723,0.322,0.358,0.252,0
996,TEX,690,698,0.336,0.377,0.272,0
997,ATL,799,774,0.339,0.427,0.266,0
998,BAL,754,561,0.345,0.389,0.266,1
1000,CAL,629,657,0.318,0.348,0.253,0
1002,CHW,652,705,0.324,0.372,0.256,0
1003,CIN,741,621,0.332,0.383,0.254,1
1004,CLE,680,826,0.315,0.387,0.256,0
1006,HOU,681,672,0.312,0.376,0.251,0
1007,KCR,755,752,0.339,0.381,0.261,0
1009,MIL,708,731,0.325,0.388,0.253,0
1011,MON,668,702,0.34,0.364,0.251,0
1013,NYY,641,610,0.322,0.378,0.261,0
1014,OAK,758,615,0.333,0.389,0.26,1
1015,PHI,642,717,0.31,0.371,0.249,0
1016,PIT,704,693,0.315,0.405,0.261,0
1018,SFG,739,702,0.335,0.407,0.262,0
1019,STL,643,603,0.325,0.357,0.259,0
1020,TEX,619,844,0.318,0.361,0.255,0
1021,ATL,643,699,0.312,0.385,0.257,0
1022,BAL,742,530,0.347,0.398,0.261,1
1024,CAL,511,576,0.29,0.329,0.231,0
1026,CHW,617,597,0.325,0.373,0.25,0
1027,CIN,586,581,0.3,0.366,0.241,0
1028,CLE,543,747,0.3,0.342,0.238,0
1029,DET,701,645,0.325,0.405,0.254,0
1030,HOU,585,567,0.302,0.34,0.24,0
1031,KCR,603,566,0.313,0.353,0.25,0
1032,LAD,663,587,0.325,0.37,0.266,0
1033,MIL,534,609,0.304,0.329,0.229,0
1034,MIN,654,670,0.323,0.372,0.26,0
1036,NYM,588,550,0.319,0.351,0.249,0
1039,PHI,558,688,0.298,0.35,0.233,0
1040,PIT,788,599,0.33,0.416,0.274,1
1041,SDP,486,610,0.293,0.332,0.233,0
1042,SFG,706,644,0.329,0.378,0.247,1
1043,STL,739,699,0.338,0.385,0.275,0
1044,WSA,537,660,0.307,0.326,0.23,0
1045,ATL,736,772,0.334,0.404,0.27,0
1046,BAL,792,574,0.344,0.401,0.257,1
1048,CAL,631,630,0.309,0.363,0.251,0
1050,CHW,633,822,0.315,0.362,0.253,0
1051,CIN,775,681,0.336,0.436,0.27,1
1052,CLE,649,675,0.314,0.394,0.249,0
1053,DET,666,731,0.322,0.374,0.238,0
1054,HOU,744,763,0.332,0.391,0.259,0
1055,KCR,611,705,0.309,0.348,0.244,0
1056,LAD,749,684,0.334,0.382,0.27,0
1058,MIN,744,605,0.327,0.403,0.262,1
1059,MON,687,807,0.323,0.365,0.237,0
1060,NYM,695,630,0.333,0.37,0.249,0
1061,NYY,680,612,0.324,0.365,0.251,0
1062,OAK,678,593,0.325,0.392,0.249,0
1063,PHI,594,730,0.305,0.356,0.238,0
1065,SDP,681,788,0.312,0.391,0.246,0
1066,SFG,831,826,0.351,0.409,0.262,0
1067,STL,744,747,0.331,0.379,0.263,0
1068,WSA,626,689,0.321,0.358,0.238,0
1070,BAL,779,517,0.343,0.414,0.265,1
1071,BOS,743,736,0.333,0.415,0.251,0
1072,CAL,528,652,0.3,0.319,0.23,0
1073,CHC,720,611,0.323,0.384,0.253,0
1074,CHW,625,723,0.32,0.357,0.247,0
1075,CIN,798,768,0.335,0.422,0.277,0
1076,CLE,573,717,0.307,0.345,0.237,0
1077,DET,701,601,0.316,0.387,0.242,0
1078,HOU,676,668,0.33,0.352,0.24,0
1079,KCR,586,688,0.309,0.338,0.24,0
1080,LAD,645,561,0.315,0.359,0.254,0
1081,MIN,790,618,0.34,0.408,0.268,1
1083,NYM,632,541,0.311,0.351,0.242,1
1084,NYY,562,587,0.308,0.344,0.235,0
1085,OAK,740,678,0.329,0.376,0.249,0
1086,PHI,645,745,0.312,0.372,0.241,0
1087,PIT,725,652,0.334,0.398,0.277,0
1088,SDP,468,746,0.285,0.329,0.225,0
1089,SEP,639,799,0.316,0.346,0.234,0
1091,STL,595,540,0.316,0.359,0.253,0
1092,WSA,694,644,0.33,0.378,0.251,0
1094,BAL,579,497,0.304,0.352,0.225,0
1096,CAL,498,615,0.291,0.318,0.227,0
1097,CHC,612,611,0.298,0.366,0.242,0
1098,CHW,463,527,0.284,0.311,0.228,0
1099,CIN,690,673,0.32,0.389,0.273,0
1102,HOU,510,588,0.298,0.317,0.231,0
1103,LAD,470,509,0.289,0.319,0.23,0
1104,MIN,562,546,0.299,0.35,0.237,0
1107,OAK,569,544,0.304,0.343,0.24,0
1109,PIT,583,532,0.306,0.343,0.252,0
1110,SFG,599,529,0.307,0.341,0.239,0
1112,WSA,524,665,0.287,0.336,0.224,0
1113,ATL,631,640,0.307,0.372,0.24,0
1115,BOS,722,614,0.321,0.395,0.255,1
1116,CAL,567,587,0.301,0.349,0.238,0
1117,CHC,702,624,0.316,0.378,0.251,0
1118,CHW,531,491,0.291,0.32,0.225,0
1119,CIN,604,563,0.297,0.372,0.248,0
1121,DET,683,587,0.325,0.376,0.243,0
1122,HOU,626,742,0.317,0.364,0.249,0
1123,KCA,533,660,0.296,0.33,0.233,0
1124,LAD,519,595,0.301,0.332,0.236,0
1125,MIN,671,590,0.309,0.369,0.24,0
1127,NYY,522,621,0.296,0.317,0.225,0
1128,PHI,612,581,0.313,0.357,0.242,0
1129,PIT,679,693,0.324,0.38,0.277,0
1131,STL,695,557,0.32,0.379,0.263,1
1132,WSA,550,637,0.288,0.326,0.223,0
1133,ATL,782,683,0.326,0.424,0.263,0
1134,BAL,755,601,0.324,0.409,0.258,1
1135,BOS,655,731,0.31,0.376,0.24,0
1137,CHC,644,809,0.313,0.38,0.254,0
1139,CIN,692,702,0.309,0.395,0.26,0
1140,CLE,574,586,0.297,0.36,0.237,0
1141,DET,719,698,0.321,0.406,0.251,0
1142,HOU,612,695,0.318,0.365,0.255,0
1143,KCA,564,648,0.294,0.337,0.236,0
1144,LAD,606,490,0.314,0.362,0.256,1
1145,MIN,663,581,0.316,0.382,0.249,0
1146,NYM,587,761,0.301,0.342,0.239,0
1147,NYY,611,612,0.299,0.374,0.235,0
1150,SFG,675,626,0.303,0.392,0.248,0
1151,STL,571,577,0.298,0.368,0.251,0
1152,WSA,557,659,0.295,0.355,0.234,0
1153,BAL,641,578,0.307,0.363,0.238,0
1155,CAL,527,569,0.297,0.341,0.239,0
1156,CHC,635,723,0.307,0.358,0.238,0
1157,CHW,647,555,0.315,0.364,0.246,0
1162,KCA,585,755,0.309,0.358,0.24,0
1164,MIN,774,600,0.324,0.399,0.254,1
1165,MLN,708,633,0.31,0.416,0.256,0
1167,NYY,611,604,0.299,0.364,0.235,0
1169,PIT,675,580,0.317,0.382,0.265,0
1171,STL,707,674,0.314,0.371,0.254,0
1174,BOS,688,793,0.322,0.416,0.258,0
1175,CHC,649,724,0.314,0.39,0.251,0
1176,CHW,642,501,0.32,0.353,0.247,0
1177,CIN,660,566,0.308,0.372,0.249,0
1178,CLE,689,693,0.312,0.38,0.247,0
1179,DET,699,678,0.319,0.395,0.253,0
1181,KCA,621,836,0.311,0.379,0.239,0
1183,LAD,614,572,0.305,0.34,0.25,0
1184,MIN,737,678,0.322,0.427,0.252,0
1185,MLN,803,744,0.333,0.418,0.272,0
1186,NYM,569,776,0.296,0.348,0.246,0
1188,PHI,693,632,0.315,0.391,0.258,0
1189,PIT,663,636,0.315,0.389,0.264,0
1190,SFG,656,587,0.31,0.382,0.246,0
1191,STL,715,652,0.324,0.392,0.272,1
1193,BAL,644,621,0.31,0.38,0.249,0
1194,BOS,666,704,0.312,0.4,0.252,0
1195,CHC,570,578,0.297,0.363,0.238,0
1196,CHW,683,544,0.323,0.365,0.25,0
1197,CIN,648,594,0.31,0.371,0.246,0
1198,CLE,635,702,0.301,0.381,0.239,0
1199,DET,700,703,0.327,0.382,0.252,0
1200,HOU,464,640,0.283,0.301,0.22,0
1201,KCA,615,704,0.313,0.353,0.247,0
1202,LAA,597,660,0.309,0.354,0.25,0
1203,LAD,640,550,0.309,0.357,0.251,1
1204,MIN,767,602,0.325,0.43,0.255,0
1205,MLN,677,603,0.312,0.37,0.244,0
1206,NYM,501,774,0.285,0.315,0.219,0
1207,NYY,714,547,0.309,0.403,0.252,1
1208,PHI,642,578,0.306,0.381,0.252,0
1210,SFG,725,641,0.316,0.414,0.258,0
1211,STL,747,628,0.326,0.403,0.271,0
1213,BAL,652,680,0.314,0.387,0.248,0
1214,BOS,707,756,0.324,0.403,0.258,0
1215,CHC,632,827,0.317,0.377,0.253,0
1216,CHW,707,658,0.334,0.372,0.257,0
1218,CLE,682,745,0.312,0.388,0.245,0
1220,HOU,592,717,0.31,0.351,0.246,0
1221,KCA,745,837,0.332,0.386,0.263,0
1222,LAA,718,706,0.325,0.38,0.25,0
1223,LAD,842,697,0.337,0.4,0.268,0
1224,MIN,798,713,0.338,0.412,0.26,0
1225,MLN,730,665,0.326,0.403,0.252,0
1226,NYM,617,948,0.318,0.361,0.24,0
1227,NYY,817,680,0.337,0.426,0.267,1
1228,PHI,705,759,0.33,0.39,0.26,0
1229,PIT,706,626,0.321,0.394,0.268,0
1231,STL,774,664,0.335,0.394,0.271,0
1232,WSA,599,716,0.308,0.373,0.25,0
